transaction_id,timestamp,sender_account,receiver_account,transaction_type,amount_usd,channel,origin_country,destination_country,is_international,is_cash,customer_id,scenario,known_suspicious,annual_income_usd,occupation,expected_monthly_volume_usd,risk_rating,pep_flag,sanctions_flag,adverse_media_flag,amount_vs_expected,RF_STRUCTURING,RF_HIGH_AMOUNT,RF_INTERNATIONAL,RF_PROFILE_MISMATCH,red_flag_count,rule_alert,rule_risk_score,risk_level,alert_id,red_flags,status,analyst_decision,sar_recommendation
TXN00000207,2025-07-30 22:43:00,ACC0004411,ACC0002976,P2P_TRANSFER,672.3,Mobile App,Singapore,United States,1,0,CUST004411,NORMAL,0,16980.5,Consultant,2491.88,LOW,0,0,0,8.094,0,0,1,1,2,1,36,MEDIUM,ALT0000015,"International Activity, Profile Mismatch",OPEN,PENDING,NO_AUTO_SAR
TXN00000224,2025-07-16 13:19:00,ACC0001828,ACC0003387,P2P_TRANSFER,1130.03,Mobile App,United States,Hong Kong,1,0,CUST001828,NORMAL,0,59561.78,Restaurant Owner,2112.72,LOW,0,0,0,16.046,0,0,1,1,2,1,36,MEDIUM,ALT0000016,"International Activity, Profile Mismatch",OPEN,PENDING,NO_AUTO_SAR
TXN00000227,2025-09-14 16:41:00,ACC0003975,ACC0004665,P2P_TRANSFER,2474.08,Online Banking,Singapore,United States,1,0,CUST003975,NORMAL,0,51259.9,Accountant,4715.06,LOW,0,0,0,15.742,0,0,1,1,2,1,36,MEDIUM,ALT0000017,"International Activity, Profile Mismatch",OPEN,PENDING,NO_AUTO_SAR
TXN00000243,2025-01-30 23:07:00,ACC0001941,ACC0004458,CARD_PAYMENT,5511.62,Mobile App,United States,Turkey,1,0,CUST001941,NORMAL,0,102126.09,Construction Worker,5284.79,LOW,0,0,0,31.288,0,0,1,1,2,1,36,MEDIUM,ALT0000018,"International Activity, Profile Mismatch",OPEN,PENDING,NO_AUTO_SAR
TXN00000248,2025-09-05 20:18:00,ACC0003285,ACC0000634,ACH,14900.17,Mobile App,Nigeria,Canada,1,0,CUST003285,NORMAL,0,29288.64,Small Business Owner,1762.0,LOW,0,0,0,253.692,0,1,1,1,3,1,54,HIGH,ALT0000019,"High Amount, International Activity, Profile Mismatch",OPEN,PENDING,NO_AUTO_SAR
TXN00000253,2025-06-09 21:22:00,ACC0003798,ACC0001777,ACH,2206.56,Online Banking,Turkey,United States,1,0,CUST003798,NORMAL,0,72269.01,Student,2500.57,LOW,0,0,0,26.473,0,0,1,1,2,1,36,MEDIUM,ALT0000020,"International Activity, Profile Mismatch",OPEN,PENDING,NO_AUTO_SAR
TXN00000257,2025-09-13 11:57:00,ACC0003068,ACC0002484,CARD_PAYMENT,2425.46,Online Banking,Canada,United States,1,0,CUST003068,NORMAL,0,47458.66,Retail Worker,6520.17,LOW,0,0,0,11.16,0,0,1,1,2,1,36,MEDIUM,ALT0000021,"International Activity, Profile Mismatch",OPEN,PENDING,NO_AUTO_SAR
TXN00000259,2025-07-13 19:58:00,ACC0000054,ACC0001328,CARD_PAYMENT,1743.53,Mobile App,UAE,Canada,1,0,CUST000054,NORMAL,0,34961.33,Lawyer,1090.9,LOW,0,0,0,47.947,0,0,1,1,2,1,36,MEDIUM,ALT0000022,"International Activity, Profile Mismatch",OPEN,PENDING,NO_AUTO_SAR
TXN00000260,2025-08-21 13:11:00,ACC0003748,ACC0004180,INTERNATIONAL_WIRE,907.42,Online Banking,Turkey,United States,1,0,CUST003748,NORMAL,0,16999.81,Lawyer,1953.3,LOW,0,0,0,13.937,0,0,1,1,2,1,36,MEDIUM,ALT0000023,"International Activity, Profile Mismatch",OPEN,PENDING,NO_AUTO_SAR
TXN00000278,2025-01-04 15:13:00,ACC0003658,ACC0004730,ACH,1313.38,Online Banking,United States,Singapore,1,0,CUST003658,NORMAL,0,61100.09,Small Business Owner,1554.22,LOW,0,0,0,25.351,0,0,1,1,2,1,36,MEDIUM,ALT0000024,"International Activity, Profile Mismatch",OPEN,PENDING,NO_AUTO_SAR
TXN00000281,2025-10-02 17:00:00,ACC0001584,ACC0000367,WIRE,1706.12,Online Banking,Canada,United States,1,0,CUST001584,NORMAL,0,23834.49,Doctor,3314.73,LOW,0,0,0,15.441,0,0,1,1,2,1,36,MEDIUM,ALT0000025,"International Activity, Profile Mismatch",OPEN,PENDING,NO_AUTO_SAR
TXN00000283,2025-07-02 21:14:00,ACC0002784,ACC0000933,CARD_PAYMENT,2555.27,Mobile App,Nigeria,United States,1,0,CUST002784,NORMAL,0,86834.28,Consultant,7216.61,LOW,0,0,0,10.622,0,0,1,1,2,1,36,MEDIUM,ALT0000026,"International Activity, Profile Mismatch",OPEN,PENDING,NO_AUTO_SAR
TXN00000286,2025-11-28 04:54:00,ACC0003419,ACC0003780,P2P_TRANSFER,820.07,Online Banking,UAE,United States,1,0,CUST003419,NORMAL,0,26747.28,Doctor,1632.76,LOW,0,0,0,15.068,0,0,1,1,2,1,36,MEDIUM,ALT0000027,"International Activity, Profile Mismatch",OPEN,PENDING,NO_AUTO_SAR
TXN00000294,2025-04-22 23:13:00,ACC0003047,ACC0000599,ACH,2354.48,ATM,Mexico,Canada,1,0,CUST003047,NORMAL,0,85267.64,Small Business Owner,8923.74,LOW,0,0,0,7.915,0,0,1,1,2,1,36,MEDIUM,ALT0000028,"International Activity, Profile Mismatch",OPEN,PENDING,NO_AUTO_SAR
TXN00000300,2025-11-01 04:39:00,ACC0000457,ACC0001889,ATM,1434.67,Phone,United States,Brazil,1,1,CUST000457,NORMAL,0,121970.53,Sales Manager,5570.41,LOW,0,0,0,7.727,0,0,1,1,2,1,36,MEDIUM,ALT0000029,"International Activity, Profile Mismatch",OPEN,PENDING,NO_AUTO_SAR
TXN00000307,2025-06-29 21:19:00,ACC0002879,ACC0000050,WIRE,963.74,Online Banking,Mexico,United States,1,0,CUST002879,NORMAL,0,48586.07,Retail Worker,2923.53,LOW,0,0,0,9.889,0,0,1,1,2,1,36,MEDIUM,ALT0000030,"International Activity, Profile Mismatch",OPEN,PENDING,NO_AUTO_SAR
TXN00000327,2025-11-25 12:11:00,ACC0002278,ACC0003230,P2P_TRANSFER,2000.93,Mobile App,United Kingdom,United States,1,0,CUST002278,NORMAL,0,68440.71,Small Business Owner,6333.89,LOW,0,0,0,9.477,0,0,1,1,2,1,36,MEDIUM,ALT0000031,"International Activity, Profile Mismatch",OPEN,PENDING,NO_AUTO_SAR
TXN00000331,2025-11-05 01:42:00,ACC0002153,ACC0004583,WIRE,2585.68,Mobile App,United States,Mexico,1,0,CUST002153,NORMAL,0,51343.1,Teacher,3586.53,LOW,0,0,0,21.628,0,0,1,1,2,1,36,MEDIUM,ALT0000032,"International Activity, Profile Mismatch",OPEN,PENDING,NO_AUTO_SAR
TXN00000339,2025-02-10 07:39:00,ACC0003455,ACC0004748,CARD_PAYMENT,8661.57,Phone,Singapore,Canada,1,0,CUST003455,NORMAL,0,24190.85,Accountant,3503.48,LOW,0,0,0,74.168,0,0,1,1,2,1,36,MEDIUM,ALT0000033,"International Activity, Profile Mismatch",OPEN,PENDING,NO_AUTO_SAR
TXN00000350,2025-01-28 17:56:00,ACC0003778,ACC0003207,CARD_PAYMENT,1751.76,Branch,Brazil,United States,1,0,CUST003778,NORMAL,0,14245.18,Doctor,1395.38,LOW,0,0,0,37.662,0,0,1,1,2,1,36,MEDIUM,ALT0000034,"International Activity, Profile Mismatch",OPEN,PENDING,NO_AUTO_SAR
TXN00000358,2025-05-26 09:29:00,ACC0000756,ACC0004524,ACH,579.71,Branch,India,Germany,1,0,CUST000756,NORMAL,0,70698.14,Restaurant Owner,2039.93,HIGH,1,0,0,8.525,0,0,1,1,2,1,46,MEDIUM,ALT0000035,"International Activity, Profile Mismatch",OPEN,PENDING,NO_AUTO_SAR
TXN00000369,2025-08-05 18:22:00,ACC0001659,ACC0003283,CARD_PAYMENT,4732.71,Online Banking,United States,India,1,0,CUST001659,NORMAL,0,88534.56,Sales Manager,9090.12,LOW,0,0,0,15.619,0,0,1,1,2,1,36,MEDIUM,ALT0000036,"International Activity, Profile Mismatch",OPEN,PENDING,NO_AUTO_SAR
TXN00000392,2025-03-06 00:45:00,ACC0001649,ACC0003622,ATM,2516.58,Online Banking,United States,Canada,1,1,CUST001649,NORMAL,0,59309.93,Lawyer,8023.48,MEDIUM,0,0,1,9.41,0,0,1,1,2,1,46,MEDIUM,ALT0000037,"International Activity, Profile Mismatch",OPEN,PENDING,NO_AUTO_SAR
TXN00000429,2025-11-18 00:37:00,ACC0002451,ACC0002729,CARD_PAYMENT,2924.37,Online Banking,United Kingdom,UAE,1,0,CUST002451,NORMAL,0,38267.07,Teacher,4815.83,MEDIUM,0,0,1,18.217,0,0,1,1,2,1,46,MEDIUM,ALT0000038,"International Activity, Profile Mismatch",OPEN,PENDING,NO_AUTO_SAR
TXN00000432,2025-09-11 05:53:00,ACC0003113,ACC0000926,ACH,4121.06,Phone,United States,Turkey,1,0,CUST003113,NORMAL,0,19837.36,Real Estate Agent,1200.46,LOW,0,0,0,102.987,0,0,1,1,2,1,36,MEDIUM,ALT0000039,"International Activity, Profile Mismatch",OPEN,PENDING,NO_AUTO_SAR
TXN00000438,2025-04-22 07:22:00,ACC0003902,ACC0000378,WIRE,422.41,Mobile App,United States,Canada,1,0,CUST003902,NORMAL,0,26815.39,Doctor,924.72,LOW,0,0,0,13.704,0,0,1,1,2,1,36,MEDIUM,ALT0000040,"International Activity, Profile Mismatch",OPEN,PENDING,NO_AUTO_SAR
TXN00000468,2025-03-03 20:08:00,ACC0004743,ACC0004520,CASH_DEPOSIT,653.07,Mobile App,India,Singapore,1,1,CUST004743,NORMAL,0,28477.74,Restaurant Owner,2001.27,LOW,0,0,0,9.79,0,0,1,1,2,1,36,MEDIUM,ALT0000041,"International Activity, Profile Mismatch",OPEN,PENDING,NO_AUTO_SAR
TXN00000475,2025-09-28 19:34:00,ACC0002374,ACC0000603,ACH,7368.58,Branch,Germany,United States,1,0,CUST002374,NORMAL,0,76234.71,Student,9520.1,LOW,0,0,0,23.22,0,0,1,1,2,1,36,MEDIUM,ALT0000042,"International Activity, Profile Mismatch",OPEN,PENDING,NO_AUTO_SAR
TXN00000484,2025-06-30 05:12:00,ACC0000281,ACC0002300,WIRE,2053.99,Phone,Hong Kong,United States,1,0,CUST000281,NORMAL,0,21925.8,Lawyer,990.99,LOW,0,0,0,62.18,0,0,1,1,2,1,36,MEDIUM,ALT0000043,"International Activity, Profile Mismatch",OPEN,PENDING,NO_AUTO_SAR
TXN00000486,2025-07-22 16:20:00,ACC0004381,ACC0004485,ACH,3841.12,Online Banking,United States,Singapore,1,0,CUST004381,NORMAL,0,46162.71,Restaurant Owner,6049.15,LOW,0,0,0,19.05,0,0,1,1,2,1,36,MEDIUM,ALT0000044,"International Activity, Profile Mismatch",OPEN,PENDING,NO_AUTO_SAR
TXN00000489,2025-02-26 20:26:00,ACC0001251,ACC0002057,CASH_WITHDRAWAL,2820.43,Online Banking,Germany,United States,1,1,CUST001251,NORMAL,0,133661.45,Real Estate Agent,3928.55,LOW,0,0,0,21.538,0,0,1,1,2,1,36,MEDIUM,ALT0000045,"International Activity, Profile Mismatch",OPEN,PENDING,NO_AUTO_SAR
TXN00000491,2025-11-13 06:30:00,ACC0000115,ACC0001695,P2P_TRANSFER,1688.44,Mobile App,Mexico,United States,1,0,CUST000115,NORMAL,0,131964.38,Retail Worker,6479.84,LOW,0,0,0,7.817,0,0,1,1,2,1,36,MEDIUM,ALT0000046,"International Activity, Profile Mismatch",OPEN,PENDING,NO_AUTO_SAR
TXN00000503,2025-09-14 06:10:00,ACC0003798,ACC0003768,WIRE,1743.37,Online Banking,Mexico,United States,1,0,CUST003798,NORMAL,0,72269.01,Student,2500.57,LOW,0,0,0,20.916,0,0,1,1,2,1,36,MEDIUM,ALT0000047,"International Activity, Profile Mismatch",OPEN,PENDING,NO_AUTO_SAR
TXN00000520,2025-08-15 13:19:00,ACC0000198,ACC0000011,ACH,5396.33,Mobile App,United States,India,1,0,CUST000198,NORMAL,0,156521.56,Restaurant Owner,4222.87,HIGH,1,0,0,38.336,0,0,1,1,2,1,46,MEDIUM,ALT0000048,"International Activity, Profile Mismatch",OPEN,PENDING,NO_AUTO_SAR
TXN00000545,2025-10-24 00:24:00,ACC0001903,ACC0003066,CASH_DEPOSIT,2080.52,Online Banking,United States,Mexico,1,1,CUST001903,NORMAL,0,115835.53,Real Estate Agent,4805.03,LOW,0,0,0,12.99,0,0,1,1,2,1,36,MEDIUM,ALT0000049,"International Activity, Profile Mismatch",OPEN,PENDING,NO_AUTO_SAR
TXN00000557,2025-04-19 17:24:00,ACC0003725,ACC0000582,CARD_PAYMENT,1085.12,Branch,United States,India,1,0,CUST003725,NORMAL,0,38032.33,Student,4070.01,LOW,0,0,0,7.998,0,0,1,1,2,1,36,MEDIUM,ALT0000050,"International Activity, Profile Mismatch",OPEN,PENDING,NO_AUTO_SAR
TXN00000587,2025-12-17 11:55:00,ACC0004843,ACC0002936,CARD_PAYMENT,2685.29,Online Banking,UAE,United States,1,0,CUST004843,NORMAL,0,51506.49,Real Estate Agent,6924.12,LOW,0,0,0,11.635,0,0,1,1,2,1,36,MEDIUM,ALT0000051,"International Activity, Profile Mismatch",OPEN,PENDING,NO_AUTO_SAR
TXN00000592,2025-01-22 08:59:00,ACC0001543,ACC0003110,ACH,2007.7,ATM,United States,Turkey,1,0,CUST001543,NORMAL,0,25751.57,Accountant,1890.25,LOW,0,0,0,31.864,0,0,1,1,2,1,36,MEDIUM,ALT0000052,"International Activity, Profile Mismatch",OPEN,PENDING,NO_AUTO_SAR
TXN00000607,2025-03-07 06:59:00,ACC0000811,ACC0000363,ACH,426.55,Online Banking,United States,Nigeria,1,0,CUST000811,NORMAL,0,44169.82,Retail Worker,1308.08,LOW,0,0,0,9.783,0,0,1,1,2,1,36,MEDIUM,ALT0000053,"International Activity, Profile Mismatch",OPEN,PENDING,NO_AUTO_SAR
TXN00000609,2025-05-01 05:43:00,ACC0004502,ACC0004717,CARD_PAYMENT,5401.85,Online Banking,Hong Kong,United States,1,0,CUST004502,NORMAL,0,259101.59,Trader,10799.47,LOW,0,0,0,15.006,0,0,1,1,2,1,36,MEDIUM,ALT0000054,"International Activity, Profile Mismatch",OPEN,PENDING,NO_AUTO_SAR
TXN00000611,2025-12-17 19:03:00,ACC0003056,ACC0003468,CASH_DEPOSIT,1013.56,Mobile App,Canada,United States,1,1,CUST003056,NORMAL,0,26260.69,Accountant,1361.09,LOW,0,0,0,22.34,0,0,1,1,2,1,36,MEDIUM,ALT0000055,"International Activity, Profile Mismatch",OPEN,PENDING,NO_AUTO_SAR
TXN00000647,2025-09-04 20:33:00,ACC0003308,ACC0003789,P2P_TRANSFER,899.26,Branch,United States,Canada,1,0,CUST003308,NORMAL,0,50003.25,Student,2081.17,LOW,0,0,0,12.963,0,0,1,1,2,1,36,MEDIUM,ALT0000056,"International Activity, Profile Mismatch",OPEN,PENDING,NO_AUTO_SAR
TXN00000652,2025-02-24 05:46:00,ACC0003639,ACC0000540,CARD_PAYMENT,2140.87,Online Banking,Hong Kong,United States,1,0,CUST003639,NORMAL,0,37804.47,Small Business Owner,1236.07,LOW,0,0,0,51.96,0,0,1,1,2,1,36,MEDIUM,ALT0000057,"International Activity, Profile Mismatch",OPEN,PENDING,NO_AUTO_SAR
TXN00000668,2025-01-18 01:08:00,ACC0002731,ACC0000844,P2P_TRANSFER,5126.06,Online Banking,Germany,United States,1,0,CUST002731,NORMAL,0,62109.35,Small Business Owner,7689.43,HIGH,1,0,0,19.999,0,0,1,1,2,1,46,MEDIUM,ALT0000058,"International Activity, Profile Mismatch",OPEN,PENDING,NO_AUTO_SAR
TXN00000673,2025-11-01 10:52:00,ACC0000422,ACC0003838,CASH_WITHDRAWAL,856.97,ATM,Nigeria,United States,1,1,CUST000422,NORMAL,0,14386.88,Software Engineer,1639.7,LOW,0,0,0,15.679,0,0,1,1,2,1,36,MEDIUM,ALT0000059,"International Activity, Profile Mismatch",OPEN,PENDING,NO_AUTO_SAR
TXN00000687,2025-11-15 01:17:00,ACC0003642,ACC0003702,CASH_DEPOSIT,2631.83,Mobile App,United States,Germany,1,1,CUST003642,NORMAL,0,65712.17,Sales Manager,9167.83,MEDIUM,0,0,1,8.612,0,0,1,1,2,1,46,MEDIUM,ALT0000060,"International Activity, Profile Mismatch",OPEN,PENDING,NO_AUTO_SAR
TXN00000700,2025-03-28 14:38:00,ACC0003300,ACC0003877,P2P_TRANSFER,575.25,Branch,United Kingdom,United States,1,0,CUST003300,NORMAL,0,26805.03,Software Engineer,878.66,LOW,0,0,0,19.641,0,0,1,1,2,1,36,MEDIUM,ALT0000061,"International Activity, Profile Mismatch",OPEN,PENDING,NO_AUTO_SAR
TXN00000704,2025-11-09 11:36:00,ACC0004951,ACC0001080,ACH,2320.0,Branch,Singapore,United States,1,0,CUST004951,NORMAL,0,115170.1,Accountant,2993.37,HIGH,1,0,0,23.251,0,0,1,1,2,1,46,MEDIUM,ALT0000062,"International Activity, Profile Mismatch",OPEN,PENDING,NO_AUTO_SAR
TXN00000708,2025-05-14 10:48:00,ACC0003327,ACC0004769,CARD_PAYMENT,636.11,Online Banking,Canada,Hong Kong,1,0,CUST003327,NORMAL,0,23484.41,Retail Worker,1968.01,LOW,0,0,0,9.697,0,0,1,1,2,1,36,MEDIUM,ALT0000063,"International Activity, Profile Mismatch",OPEN,PENDING,NO_AUTO_SAR
TXN00000712,2025-07-22 05:19:00,ACC0001547,ACC0002666,ACH,1198.68,Mobile App,United States,Nigeria,1,0,CUST001547,NORMAL,0,29986.45,Restaurant Owner,1196.48,LOW,0,0,0,30.055,0,0,1,1,2,1,36,MEDIUM,ALT0000064,"International Activity, Profile Mismatch",OPEN,PENDING,NO_AUTO_SAR
TXN00000714,2025-06-12 04:08:00,ACC0002327,ACC0003281,ACH,1025.78,ATM,Turkey,United States,1,0,CUST002327,NORMAL,0,35646.7,Construction Worker,2915.66,LOW,0,0,0,10.555,0,0,1,1,2,1,36,MEDIUM,ALT0000065,"International Activity, Profile Mismatch",OPEN,PENDING,NO_AUTO_SAR
TXN00000728,2025-10-12 14:46:00,ACC0001398,ACC0004729,CARD_PAYMENT,1525.75,Mobile App,United States,Germany,1,0,CUST001398,NORMAL,0,16782.89,Retail Worker,494.86,LOW,0,0,0,92.496,0,0,1,1,2,1,36,MEDIUM,ALT0000066,"International Activity, Profile Mismatch",OPEN,PENDING,NO_AUTO_SAR
TXN00000735,2025-02-21 10:44:00,ACC0003483,ACC0003161,INTERNATIONAL_WIRE,2587.34,Mobile App,United States,United Kingdom,1,0,CUST003483,NORMAL,0,104290.93,Doctor,8233.24,LOW,0,0,0,9.428,0,0,1,1,2,1,36,MEDIUM,ALT0000067,"International Activity, Profile Mismatch",OPEN,PENDING,NO_AUTO_SAR
TXN00000747,2025-04-22 04:02:00,ACC0004635,ACC0004195,ATM,2969.26,Online Banking,United States,United Kingdom,1,1,CUST004635,NORMAL,0,46787.05,Construction Worker,6671.39,LOW,0,0,0,13.352,0,0,1,1,2,1,36,MEDIUM,ALT0000068,"International Activity, Profile Mismatch",OPEN,PENDING,NO_AUTO_SAR
TXN00000763,2025-10-07 01:53:00,ACC0003714,ACC0003347,ACH,1114.66,Branch,United States,Canada,1,0,CUST003714,NORMAL,0,69189.53,Construction Worker,2587.99,LOW,0,0,0,12.921,0,0,1,1,2,1,36,MEDIUM,ALT0000069,"International Activity, Profile Mismatch",OPEN,PENDING,NO_AUTO_SAR
TXN00000766,2025-03-10 04:33:00,ACC0000061,ACC0002575,CARD_PAYMENT,2677.68,ATM,Singapore,United States,1,0,CUST000061,NORMAL,0,82780.8,Trader,6209.83,LOW,0,0,0,12.936,0,0,1,1,2,1,36,MEDIUM,ALT0000070,"International Activity, Profile Mismatch",OPEN,PENDING,NO_AUTO_SAR
TXN00000771,2025-05-13 07:42:00,ACC0000331,ACC0003031,P2P_TRANSFER,1506.19,ATM,Singapore,United States,1,0,CUST000331,NORMAL,0,30134.77,Real Estate Agent,4252.04,LOW,0,0,0,10.627,0,0,1,1,2,1,36,MEDIUM,ALT0000071,"International Activity, Profile Mismatch",OPEN,PENDING,NO_AUTO_SAR
TXN00000782,2025-03-08 04:46:00,ACC0000707,ACC0002216,ACH,2589.12,Phone,United States,Nigeria,1,0,CUST000707,NORMAL,0,80882.5,Student,3780.93,LOW,0,0,0,20.544,0,0,1,1,2,1,36,MEDIUM,ALT0000072,"International Activity, Profile Mismatch",OPEN,PENDING,NO_AUTO_SAR
TXN00000813,2025-01-07 01:24:00,ACC0001700,ACC0000722,ACH,577.72,Online Banking,Singapore,United States,1,0,CUST001700,NORMAL,0,41352.74,Sales Manager,2235.27,LOW,0,0,0,7.754,0,0,1,1,2,1,36,MEDIUM,ALT0000073,"International Activity, Profile Mismatch",OPEN,PENDING,NO_AUTO_SAR
TXN00000818,2025-02-06 18:05:00,ACC0004344,ACC0001300,CARD_PAYMENT,783.65,Branch,Mexico,United Kingdom,1,0,CUST004344,NORMAL,0,100750.56,Real Estate Agent,2683.36,LOW,0,0,0,8.761,0,0,1,1,2,1,36,MEDIUM,ALT0000074,"International Activity, Profile Mismatch",OPEN,PENDING,NO_AUTO_SAR
TXN00000821,2025-03-26 19:39:00,ACC0004259,ACC0000369,CASH_DEPOSIT,3300.02,ATM,United States,Hong Kong,1,1,CUST004259,NORMAL,0,31123.38,Sales Manager,3683.46,LOW,0,0,0,26.877,0,0,1,1,2,1,36,MEDIUM,ALT0000075,"International Activity, Profile Mismatch",OPEN,PENDING,NO_AUTO_SAR
TXN00000828,2025-05-13 09:56:00,ACC0001847,ACC0000642,ACH,6687.42,Mobile App,United States,Germany,1,0,CUST001847,NORMAL,0,154724.61,Small Business Owner,16448.32,LOW,0,0,0,12.197,0,0,1,1,2,1,36,MEDIUM,ALT0000076,"International Activity, Profile Mismatch",OPEN,PENDING,NO_AUTO_SAR
TXN00000841,2025-06-12 21:48:00,ACC0004815,ACC0001657,INTERNATIONAL_WIRE,1223.51,Phone,United States,Mexico,1,0,CUST004815,NORMAL,0,34764.9,Small Business Owner,3064.33,LOW,0,0,0,11.978,0,0,1,1,2,1,36,MEDIUM,ALT0000077,"International Activity, Profile Mismatch",OPEN,PENDING,NO_AUTO_SAR
